"","x"
"HR_a0",0.991522437583593
"MSE_a0",0.0108992628836228
"lower_a0",0.793460487253399
"upper_a0",1.2390300866098
"CI_width_a0",0.445569599356405
"CI_a0",0.976019184652278
"power_a0",0.0167865707434053
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",1.00535681369555
"MSE_0",0.0133987059884758
"lower_0",0.789648829011958
"upper_0",1.27999223686452
"CI_width_0",0.490343407852561
"CI_0",0.966426858513189
"power_0",0.0143884892086331
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",1.00686946591955
"MSE_0.25",0.0114822826212135
"lower_0.25",0.798620874201243
"upper_0.25",1.26942396546976
"CI_width_0.25",0.470803091268517
"CI_0.25",0.968824940047962
"power_0.25",0.0119904076738609
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",1.00805072813267
"MSE_0.5",0.0106593342694
"lower_0.5",0.805787123017403
"upper_0.5",1.26108977201105
"CI_width_0.5",0.455302648993651
"CI_0.5",0.973621103117506
"power_0.5",0.0119904076738609
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",1.0089785794063
"MSE_0.75",0.0104052754594036
"lower_0.75",0.811656164116224
"upper_0.75",1.25427836253766
"CI_width_0.75",0.442622198421431
"CI_0.75",0.971223021582734
"power_0.75",0.0119904076738609
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",1.0097082453757
"MSE_1",0.0104621360784558
"lower_1",0.816556331117944
"upper_1",1.248556752686
"CI_width_1",0.432000421568053
"CI_1",0.961630695443645
"power_1",0.0167865707434053
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",1.0197153855468
"MSE_iptw",0.0169305722846288
"lower_iptw",0.80045347381524
"upper_iptw",1.29930963944128
"CI_width_iptw",0.498856165626038
"CI_iptw",0.94484412470024
"power_iptw",0.0215827338129496
"se_iptw",NA
"age_iptw",0.0091571046840044
"sex2_iptw",0.202508865074121
"HR_cox",1.00671583385557
"MSE_cox",0.0140130149354198
"lower_cox",0.789413820545974
"upper_cox",1.28383848251642
"CI_width_cox",0.494424661970447
"CI_cox",0.959232613908873
"power_cox",0.0167865707434053
"se_cox",NA
"age_cox",0.0083615607569872
"sex2_cox",0.239715998243986
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.976251269957221
"MSE_a0_v1",0.0112484592373152
"lower_a0_v1",0.783100778070213
"upper_a0_v1",1.2170487310993
"CI_width_a0_v1",0.433947953029085
"CI_a0_v1",0.961870503597122
"power_a0_v1",0.0306954436450839
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.113699652216939
"a0_logHR",-0.0139794597065656
"bias_a0",NA
"scale",-0.366204096222703
"mean_a0",0.494937927141568
"a0_wt_ecog0",0.490328338951882
"a0_wt_ecog1",0.499932059801845
"a0_wt_ecogNA",0.493999986605664
"a0_wt_int1",0.496990840047962
"a0_wt_int2",0.489240346897774
"a0_mean_q0.1",0.116416294964029
"a0_wt_int1_q0.1",0.126474438848921
"a0_wt_int2_q0.1",0.112904961630695
"a0_mean_q0.25",0.263435419664269
"a0_wt_int1_q0.25",0.274233105515588
"a0_wt_int2_q0.25",0.248656990407674
"a0_mean_q0.5",0.491746306954436
"a0_wt_int1_q0.5",0.494058669064748
"a0_wt_int2_q0.5",0.484256894484412
"a0_mean_q0.75",0.723999346522782
"a0_wt_int1_q0.75",0.717139874100719
"a0_wt_int2_q0.75",0.727492907673861
"a0_mean_q0.9",0.88204151558753
"a0_wt_int1_q0.9",0.876895143884892
"a0_wt_int2_q0.9",0.874096743405276
"a0_wts_0_1",0.495488429256595
"a0_wts_1_1",0.500027658673062
"a0_wts_2_1",0.495715271137928
"a0_wts_0_2",NA
"a0_wts_1_2",0.497586211153903
"a0_wts_2_2",0.488400179274651
"nu_trt",200
"nu_ctrl",100
"nu_h",54.4820143884892
"T1E",1
"a0_wt_obs",0.509207657212664
"a0_wt_cen",0.481896736244065
"HR_e0.15_t_0.975",1.00169416123805
"MSE_e0.15_t_0.975",0.0117138386243438
"lower_e0.15_t_0.975",0.795806477011061
"upper_e0.15_t_0.975",1.2609267959003
"CI_width_e0.15_t_0.975",0.465120318889241
"CI_e0.15_t_0.975",0.964028776978417
"power_e0.15_t_0.975",0.0167865707434053
"se_e0.15_t_0.975",NA
"age_e0.15_t_0.975",NA
"sex2_e0.15_t_0.975",NA
"HR_e0.20_t_0.975",1.00114959695925
"MSE_e0.20_t_0.975",0.0117012094300699
"lower_e0.20_t_0.975",0.79541311340745
"upper_e0.20_t_0.975",1.26017984536032
"CI_width_e0.20_t_0.975",0.464766731952874
"CI_e0.20_t_0.975",0.961630695443645
"power_e0.20_t_0.975",0.0167865707434053
"se_e0.20_t_0.975",NA
"age_e0.20_t_0.975",NA
"sex2_e0.20_t_0.975",NA
"HR_e0.25_t_0.975",1.00060652029938
"MSE_e0.25_t_0.975",0.0116903409648353
"lower_e0.25_t_0.975",0.795020699645348
"upper_e0.25_t_0.975",1.25943514399042
"CI_width_e0.25_t_0.975",0.464414444345075
"CI_e0.25_t_0.975",0.961630695443645
"power_e0.25_t_0.975",0.0167865707434053
"se_e0.25_t_0.975",NA
"age_e0.25_t_0.975",NA
"sex2_e0.25_t_0.975",NA
"HR_e0.30_t_0.975",1.00006491941601
"MSE_e0.30_t_0.975",0.0116812176205925
"lower_e0.30_t_0.975",0.794629227626791
"upper_e0.30_t_0.975",1.25869267462944
"CI_width_e0.30_t_0.975",0.464063447002645
"CI_e0.30_t_0.975",0.964028776978417
"power_e0.30_t_0.975",0.0167865707434053
"se_e0.30_t_0.975",NA
"age_e0.30_t_0.975",NA
"sex2_e0.30_t_0.975",NA
"HR_e0.35_t_0.975",0.999524782536719
"MSE_e0.35_t_0.975",0.0116738240154264
"lower_e0.35_t_0.975",0.794238689293624
"upper_e0.35_t_0.975",1.2579524202318
"CI_width_e0.35_t_0.975",0.463713730938179
"CI_e0.35_t_0.975",0.964028776978417
"power_e0.35_t_0.975",0.0167865707434053
"se_e0.35_t_0.975",NA
"age_e0.35_t_0.975",NA
"sex2_e0.35_t_0.975",NA
"HR_e0.40_t_0.975",0.998986097957711
"MSE_e0.40_t_0.975",0.0116681449907226
"lower_e0.40_t_0.975",0.793849076626467
"upper_e0.40_t_0.975",1.25721436386569
"CI_width_e0.40_t_0.975",0.463365287239224
"CI_e0.40_t_0.975",0.964028776978417
"power_e0.40_t_0.975",0.0167865707434053
"se_e0.40_t_0.975",NA
"age_e0.40_t_0.975",NA
"sex2_e0.40_t_0.975",NA
"HR_e0.15_t_0.950",1.00331108365325
"MSE_e0.15_t_0.950",0.0110348751282211
"lower_e0.15_t_0.950",0.799648247986269
"upper_e0.15_t_0.950",1.25889548741248
"CI_width_e0.15_t_0.950",0.459247239426211
"CI_e0.15_t_0.950",0.971223021582734
"power_e0.15_t_0.950",0.0143884892086331
"se_e0.15_t_0.950",NA
"age_e0.15_t_0.950",NA
"sex2_e0.15_t_0.950",NA
"HR_e0.20_t_0.950",1.00261851392561
"MSE_e0.20_t_0.950",0.0110217176879958
"lower_e0.20_t_0.950",0.799141236854584
"upper_e0.20_t_0.950",1.25795617977711
"CI_width_e0.20_t_0.950",0.458814942922523
"CI_e0.20_t_0.950",0.968824940047962
"power_e0.20_t_0.950",0.0143884892086331
"se_e0.20_t_0.950",NA
"age_e0.20_t_0.950",NA
"sex2_e0.20_t_0.950",NA
"HR_e0.25_t_0.950",1.00192759035225
"MSE_e0.25_t_0.950",0.011010871463964
"lower_e0.25_t_0.950",0.798635257443964
"upper_e0.25_t_0.950",1.25701939136916
"CI_width_e0.25_t_0.950",0.458384133925201
"CI_e0.25_t_0.950",0.968824940047962
"power_e0.25_t_0.950",0.0143884892086331
"se_e0.25_t_0.950",NA
"age_e0.25_t_0.950",NA
