date;surge
1846-01-14;35.989
1846-01-21;59.987
1846-01-24;45.986
1846-01-28;39.985
1846-02-25;32.976
1846-03-04;41.974
1846-04-02;39.965
1846-04-06;35.964
1846-04-12;46.962
1846-05-18;47.951
1846-06-24;30.939
1846-09-20;30.912
1846-09-23;44.911
1846-10-04;37.907
1846-10-15;37.904
1846-11-20;47.893
1846-12-23;49.883
1847-01-24;58.873
1847-01-28;58.871
1847-03-19;38.856
1847-11-27;36.777
1847-12-18;37.771
1848-01-31;34.757
1848-02-25;59.749
1848-03-01;50.748
1848-03-20;38.742
1848-04-19;37.733
1848-05-19;35.723
1848-06-03;35.719
1848-06-09;37.717
1848-06-15;34.715
1848-06-23;33.712
1848-09-25;38.683
1848-10-25;34.674
1848-11-22;41.665
1848-12-04;42.661
1848-12-15;38.658
1848-12-18;32.657
1849-01-03;30.652
1849-02-25;35.636
1849-03-28;32.626
1849-04-01;38.625
1849-04-04;33.624
1849-04-08;35.623
1849-05-16;31.611
1849-09-11;40.574
1849-09-30;35.569
1849-10-03;44.568
1849-10-06;36.567
1849-10-12;30.565
1849-11-24;33.551
1849-12-07;49.547
1850-04-01;55.512
1850-04-04;44.511
1850-04-08;52.509
1850-04-16;44.507
1850-05-07;41.5
1850-05-23;37.495
1850-05-27;30.494
1850-12-16;41.431
1851-01-06;36.425
1851-01-15;69.422
1851-03-22;60.401
1851-04-21;30.392
1851-10-01;47.341
1852-03-29;34.285
1852-06-07;40.264
1852-06-16;45.261
1852-08-07;41.245
1852-08-11;46.244
1852-08-14;32.243
1852-09-18;35.232
1852-10-04;37.227
1852-10-26;31.22
1852-11-05;31.217
1852-11-12;37.215
1852-11-16;52.213
1852-11-19;34.212
1852-11-22;57.212
1852-11-26;34.21
1852-12-10;31.206
1852-12-13;35.205
1852-12-16;49.204
1852-12-27;66.201
1853-01-04;33.198
1853-01-07;32.198
1853-01-12;37.196
1853-01-16;52.195
1853-01-21;36.193
1853-01-25;32.192
1853-02-08;33.188
1853-03-31;51.172
1853-04-22;30.165
1853-08-25;31.126
1853-10-12;30.111
1853-10-19;44.109
1853-10-26;38.107
1853-12-14;55.092
1853-12-18;38.09
1854-01-03;49.085
1854-01-07;65.084
1854-01-23;37.079
1854-04-20;31.052
1854-10-24;45.994
1854-11-16;37.987
1855-01-31;31.963
1855-03-05;30.953
1855-03-22;39.948
1855-10-06;41.886
1855-12-21;30.863
1855-12-27;34.861
1856-01-03;37.859
1856-01-07;47.857
1856-01-21;49.853
1856-01-24;51.852
1856-04-02;32.831
1856-04-05;43.83
1856-04-08;45.829
1856-04-26;31.823
1856-05-01;44.822
1856-05-23;34.815
1856-08-20;46.787
1856-09-24;37.776
1856-09-27;66.775
1856-12-09;51.753
1857-01-12;46.742
1857-02-09;44.734
1857-03-14;37.723
1857-03-24;35.72
1857-04-01;42.718
1857-04-09;32.715
1857-05-26;35.701
1859-12-25;80.408
1859-12-28;52.407
1860-01-03;61.405
1860-06-11;30.355
1860-06-19;36.353
1860-08-15;34.335
1860-11-17;38.306
1860-11-26;35.303
1860-12-03;41.301
1860-12-06;48.3
1860-12-09;49.299
1860-12-30;32.293
1861-02-08;45.28
1861-02-18;48.277
1861-02-21;49.276
1861-07-06;38.234
1861-10-13;34.204
1861-11-10;39.195
1861-11-13;37.194
1861-12-13;49.185
1862-01-21;37.173
1862-02-19;42.164
1862-03-05;33.159
1862-03-08;36.158
1862-03-20;36.155
1862-03-25;34.153
1862-03-28;39.152
1862-04-02;30.151
1862-06-12;40.128
1862-08-07;31.111
1862-10-18;45.089
1862-12-03;30.074
1863-01-05;39.064
1863-03-06;39.045
1863-03-12;38.044
1864-03-07;49.931
1864-06-14;30.901
1864-10-19;47.861
1864-10-22;47.86
1864-10-25;38.859
1864-11-13;41.854
1864-11-19;43.852
1864-11-26;41.85
1865-01-12;31.835
1865-01-27;38.83
1865-02-03;42.828
1865-02-16;33.824
1865-05-05;33.8
1865-05-10;31.799
1865-10-10;37.751
1865-10-18;31.749
1865-10-22;31.747
1865-10-29;60.745
1865-11-22;47.738
1865-11-25;53.737
1865-12-04;58.734
1865-12-29;36.726
1866-01-10;79.722
1866-02-11;41.712
1866-03-16;43.702
1866-03-23;50.7
1866-06-01;39.678
1866-07-03;31.668
1866-09-06;38.648
1866-09-22;39.643
1867-01-07;58.61
1867-01-24;32.605
1867-03-09;31.591
1867-03-12;33.59
1867-03-18;44.588
1867-03-21;38.587
1867-03-25;36.586
1867-04-20;32.578
1867-07-15;34.551
1867-07-25;31.548
1868-01-18;37.493
1868-01-22;40.492
1868-03-11;32.477
1868-04-24;42.463
1868-08-22;31.426
1868-09-19;42.417
1868-09-25;52.415
1868-09-30;51.414
1868-11-22;53.397
1868-12-11;32.391
1868-12-15;63.39
1868-12-20;41.388
1868-12-24;48.387
1868-12-30;32.385
1869-01-14;31.381
1869-01-29;42.376
1869-02-01;65.375
1869-05-08;46.346
1869-09-11;56.306
1870-01-08;31.269
1870-01-30;41.263
1870-02-06;32.26
1870-02-27;31.254
1870-03-03;32.253
1870-11-24;37.17
1870-12-14;42.164
1871-01-15;34.154
1871-03-06;35.138
1871-04-19;35.125
1871-07-02;35.102
1871-09-10;33.08
1871-09-27;58.075
1871-10-01;33.073
1872-01-04;45.044
1872-01-17;34.04
1872-01-24;63.038
1872-02-01;45.035
1872-02-12;33.032
1872-03-06;31.025
