start;end;comment
1846-01-01;1846-01-04;
1847-01-01;1847-01-21;
1852-01-21;1852-02-08;
1857-05-31;1859-11-24;
1860-01-20;1860-05-01;
1861-12-19;1862-01-18;
1863-08-31;1864-03-01;
1867-08-11;1867-09-02;
1868-07-14;1868-08-01;
1872-03-27;1872-04-01;
1872-04-14;1872-04-20;
1874-04-30;1874-05-12;
1877-08-31;1877-10-02;
1878-08-31;1878-10-03;
1891-11-02;1891-11-30;
1897-05-31;1897-08-02
1907-05-31;1907-07-01
1910-04-19;1910-05-03
1911-03-22;1911-03-29
1915-01-01;1915-01-02
1916-12-31;1917-02-02
1920-09-15;1920-09-19
1922-08-31;1922-10-02
1922-12-09;1922-12-16
1923-07-17;1923-07-27
1937-08-01;1937-08-02
1937-11-01;1939-01-01
1940-06-23;1940-07-02
1944-04-30;1952-09-30
1952-11-05;1952-11-08
1952-12-22;1952-12-25
1980-01-11;1980-01-28
1980-02-10;1980-02-14
1980-07-17;1980-08-17
1981-09-20;1981-09-29
1982-01-01;1982-01-07
1982-05-07;1982-05-24
1982-10-24;1982-10-31
1982-12-06;1982-12-20
1991-12-31;1992-01-01
1992-12-31;1993-01-10
1999-12-31;2000-01-06
2008-01-10;2009-01-01
