date;flow
1913-04-08;2600
1913-04-25;2800
1913-05-07;2700
1913-05-19;4579
1914-02-26;3400
1914-03-28;4774
1914-04-09;3000
1915-01-14;4968
1915-01-24;3100
1915-02-24;3995
1915-04-12;3100
1915-11-18;3100
1916-02-21;4774
1916-03-07;2600
1917-03-16;3400
1917-05-22;3200
1918-04-16;2800
1918-05-10;6137
1918-12-21;3200
1919-02-08;4189
1919-02-25;3200
1919-04-01;2800
1920-01-03;3500
1920-03-17;3200
1920-10-11;4579
1920-11-04;3700
1921-02-06;2800
1922-02-05;4384
1922-04-06;3700
1922-05-02;3995
1923-03-05;4774
1923-04-18;3600
1923-12-30;5747
1924-01-11;2700
1925-04-23;3100
1926-04-23;3100
1926-05-06;2900
1926-05-18;3200
1927-03-11;6332
1927-03-27;3100
1928-02-16;4579
1928-03-04;3000
1928-03-26;4579
1928-05-01;2700
1928-11-28;4968
1930-01-08;3500
1930-02-04;2600
1930-03-05;7500
1930-03-15;3800
1930-05-09;2600
1930-12-15;3200
1931-01-03;3500
1931-01-26;3300
1931-02-18;3000
1931-03-04;3700
1931-03-22;3000
1931-11-30;3000
1932-05-08;2600
1932-07-15;3000
1932-12-04;3600
1932-12-17;2900
1934-03-19;3700
1934-04-10;3200
1934-05-01;2600
1934-12-18;3500
1935-03-04;6137
1935-03-18;2900
1935-04-25;2900
1935-12-07;4774
1935-12-23;4774
1936-01-05;4189
1936-02-04;4189
1936-05-01;3000
1937-02-25;3500
1937-03-24;2600
1937-10-30;3000
1937-12-09;5757
1938-01-31;3200
1939-01-28;2800
1939-03-26;2800
1940-02-19;3000
1940-05-06;5553
1940-05-18;2600
1940-06-27;3300
1940-12-13;5553
1941-02-04;3100
1941-02-28;5163
1941-06-14;2600
1941-11-14;3200
1942-01-31;3100
1943-12-08;3600
1944-04-19;3500
1944-11-16;3400
1944-12-10;4579
1944-12-21;3700
1945-01-29;3200
1950-02-11;2600
1951-02-23;2600
1951-03-20;2900
1952-01-14;3600
1952-02-05;6721
1952-11-26;2900
1952-12-19;3800
1953-12-10;2700
1954-02-13;3000
1954-05-19;2800
1955-01-25;5747
1955-02-07;3200
1957-02-25;3200
1958-03-19;2900
1959-04-20;3200
1959-12-12;3400
1959-12-30;4968
1960-03-17;2700
1961-01-06;3700
1961-02-05;4774
1963-02-21;2700
1964-03-27;2800
1964-04-21;3300
1965-01-22;2900
1965-12-07;4968
1966-01-05;5163
1966-01-24;3700
1966-02-18;2600
1966-05-15;3200
1966-12-15;3995
1967-10-02;2600
1968-05-31;2530
1969-01-19;2690
1969-03-21;4073
1969-04-30;2840
1969-05-10;2550
1970-02-04;3120
1970-02-19;2660
1971-02-02;2610
1971-02-22;4696
1971-03-24;3690
1971-04-25;2840
1972-01-28;3090
1972-02-14;5377
1973-02-26;3956
1973-12-26;2940
1974-02-08;4228
1974-03-23;3360
1974-04-06;3110
1974-11-29;3975
1975-01-30;3200
1976-10-27;3030
1976-12-04;4209
1977-05-22;4482
1977-07-10;3630
